Empresa,Promedio_Volumen,sum_Open_Close
BKNG,766537.0226027397,-704.3785247802748
BKR,4705137.2602739725,-94.73334693908659
BLK,504684.26369863015,-54.460475921629566
BMY,9819802.18989726,0.707996368408093
BR,772180.7052396325,97.66031646728518
BRK-B,2970726.2671232875,-130.47966766357425
BSX,10155999.33219178,-9.990620613098386
BWA,2235611.2157534244,10.79696989059455
BXP,966446.9520547945,14.111246109009741
C,18741761.100171234,-1071.928686141961
CAG,3970618.7061643833,19.700098991394135
CAH,2538983.01369863,104.55779266357419
CAT,5687054.19520548,-15.877010345458377
CB,1837127.1575342466,53.70288276672355
CBOE,718856.4270152505,3.6798534393309232
CBRE,2695894.033008887,8.546757221221958
CCI,1931012.243150685,38.0931580066684
CCL,9270832.43150685,-56.808629989624166
CDNS,2536210.633561644,170.21754336357094
CDW,862552.47039608,126.70993423461938
CE,1260986.0205644278,-97.51975536346472
CF,6115270.322726247,-15.34996986389166
CFG,5012959.129213483,-33.28500556945793
CHD,1463476.6952054794,70.60747718811017
CHRW,1358566.506849315,146.39933776855509
CHTR,1165454.2117930204,270.12937545776276
CI,2691744.897260274,155.62325859069878
CINF,718695.0035958904,19.56044387817321
CL,4346814.520547945,97.99014663696255
CLX,1187800.102739726,159.2947101593017
CMA,1877681.2671232878,-69.95561695098793
CMCSA,25590152.6369863,8.201212406158259
CME,2610410.42115573,2.684150695801833
CMG,668541.6821130677,183.9396781921402
CMI,2222333.116438356,-18.778601646423283
CMS,2210527.9965753425,26.72492456436135
CNC,2903139.7234678627,27.085846066474666
CNP,3450599.153082192,-11.98705148696913
COF,4030373.0479452056,65.82967185974158
COO,461772.7226027397,125.85227870941105
COP,9232204.736986302,-38.595355033874476
COST,3394973.3732876712,440.5411243438723
COTY,6241008.5807238715,-17.850011348724344
CPB,1855996.4554794522,91.09872436523452
CPRI,3121779.378531073,-114.81015491485562
CPRT,3645577.9965753425,39.02236801385885
CRM,6973387.32513777,2.589750051497596
CSCO,44092973.90410959,-12.169176101684727
CSX,26435864.229452055,12.98043763637541
CTAS,899248.8869863014,181.553745269776
CTLT,1070498.068077277,-15.04100418090821
CTSH,5848229.04109589,50.97279512882226
CTVA,4107428.586278586,22.679016113281435
CVS,7359919.55479452,-8.47801876068089
CVX,8210802.157534246,51.80257606506378
D,3033162.345890411,46.250305175781335
DAL,12152056.903451726,-95.51020574569705
DD,5098913.0172945205,-45.94807052612268
DE,3390320.4965753425,109.92382431030346
DFS,3953093.550012598,14.45985794067362
DG,2694623.6748064323,130.91991424560518
DGX,1403497.7226027397,140.402141571045
DHI,4800402.076027397,-41.57973289489779
DHR,4110483.605650685,40.315649509430685
DIS,9659603.449828766,-77.76101875305217
DISH,2941205.3938356163,-100.70976066589334
DLR,1274546.6940363008,72.07978820800737
DLTR,3479274.9657534244,109.45363998413065
DOV,1601227.4289383562,14.860956192016706
DOW,5217663.988095238,-22.42596435546877
DRI,1820800.0306506848,11.07030439376814
DTE,1152656.541780822,56.01466560363747
DUK,2923846.375342466,-14.6843891143792
DVA,1523710.1198630137,84.77228021621718
DVN,5243801.7465753425,-137.5975375175472
DXC,2702947.6938356166,8.741350173950217
DXCM,2788878.754984493,54.00248193740858
EA,4765280.0,29.20302581787106
EBAY,31004584.747431505,37.9840371608736
ECL,1249106.404109589,43.79188632965173
ED,1667822.5684931506,75.65840148925763
EFX,809983.955479452,256.71198463439873
EIX,2048358.3561643835,103.12814044952418
EL,2222309.229452055,101.68396949768027
EMN,1442001.147260274,11.258497238159507
EMR,3621918.133561644,-16.04551696777365
EOG,4802179.537671233,-77.22319316863995
EQIX,569521.8454097784,-814.468189954757
EQR,2032050.8561643835,28.325332641601314
ES,1257216.7123287672,83.7917795181275
ESS,327132.602739726,138.8403396606434
ETN,2639142.7619863013,28.71429920196495
ETR,1313963.3047945206,81.33554458618192
ETSY,2697821.1422845693,-4.428183078766532
EVRG,975870.5136986302,55.7593946456912
EW,5134303.216879972,48.15017962455765
EXC,6679073.756849315,9.745554924010968
EXPD,1621697.7226027397,138.1309118270874
EXPE,2357159.356725146,-30.430272102356014
EXR,797634.1593676565,66.3500971794125
F,42663385.50907534,-69.05899691581727
FANG,1820067.949695122,-23.59998035430882
FAST,4950373.818493151,52.1850085258482
FCX,17558965.1369863,-117.06236886978192
